Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude
brong ahafo,wenchi,subinso health centre,health centre,subinso,government,7.94251,-2.05399
brong ahafo,wenchi,nchiraa rural clinic,clinic,nchiraa,government,7.89522,-1.98159
brong ahafo,wenchi,rch clinic wenchi,clinic,wenchi,government,7.7444,-2.10038
brong ahafo,wenchi,wencgi methodist hospital,hospital,wenchi,chag,7.73854,-2.111
brong ahafo,wenchi,ampaabeng kyeremeh clinic,clinic,wenchi,government,7.73557,-2.1087
brong ahafo,wenchi,gov't. maternity home,maternity home,wenchi,government,7.74081,-2.11169
brong ahafo,wenchi,nyaase royal maternity  home,maternity home,wenchi bandaline,private,7.74042,-2.10208
brong ahafo,wenchi,emil memorial hospital,hospital,wenchi,government,7.73964,-2.09488
brong ahafo,tano north,tanoso community health nurses training school,training institution,tanoso,government,7.2169497,-2.18432849999999
brong ahafo,asutifi,biaso chps,chps,biaso,government,6.9577082,-2.42087130000004
brong ahafo,asunafo south,nankete chps,chps,nankete,government,6.6148152,-2.49999179999997
brong ahafo,dormaa municipal,florence maternity home,maternity home,wamfie,private,7.277284,-2.876257
brong ahafo,dormaa municipal,emc kwaku any maternity home,maternity home,wamfie,private,7.277284,-2.876257
brong ahafo,jaman north,adadiem rural clinic,clinic,adadiem,government,7.9072974,-2.65864009999995
brong ahafo,jaman north,mayera rural clinic,clinic,mayera,government,7.9072974,-2.65864009999995
brong ahafo,jaman north,kokoa rural clinic,clinic,kokoa,government,7.9072974,-2.65864009999995
brong ahafo,nkoranza north,rabito clinic,clinic,nkoranza,private,7.5666667,-1.70000000000004
brong ahafo,sene,lassi chps,chps,lassi,government,7.6111895,-0.45023679999997
brong ahafo,sene,kwame danso hospital,hospital,kwame danso,government,7.6111895,-0.45023679999997
brong ahafo,techiman municipal,techiman poly. clinic,clinic,techiman,government,7.5772222,-1.92916669999999
brong ahafo,techiman municipal,market clinic,clinic,techiman,government,7.5772222,-1.92916669999999
brong ahafo,techiman municipal,nkwaeso clinic,clinic,nkwaeso,government,7.5772222,-1.92916669999999
brong ahafo,wenchi municipal,droboso clinic,clinic,droboso,government,7.734117,-2.10357199999998
brong ahafo,berekum municipal,christian eye centre,clinic,brekum,chag,7.5977302,-1.93595930000003
brong ahafo,berekum municipal,nkyekyemanu rural clinic,clinic,nkyekyemanu,government,7.5977302,-1.93595930000003
brong ahafo,kintampo north municipal,kintampo rural health training school,training institution,kintampo,government,7.5977302,-1.93595930000003
brong ahafo,sunyani municipal,susec clinic,clinic,sunyani,government,7.3333333,-2.33333330000004
brong ahafo,sunyani municipal,notre dame sch. clinic,clinic,sunyani,government,7.3333333,-2.33333330000004
brong ahafo,sunyani municipal,ratchlik clinic,clinic,sunyani,private,7.3333333,-2.33333330000004
brong ahafo,sunyani municipal,atuahenekrom clinic,clinic,atuahene,private,7.3333333,-2.33333330000004
brong ahafo,sunyani municipal,abesim eye clinic,clinic,abesim,chag,7.3333333,-2.33333330000004
brong ahafo,sunyani municipal,fofie memorial clinic,clinic,sunyani,private,7.3333333,-2.33333330000004
brong ahafo,sunyani west,holy daniel clinic,clinic,sunyani,private,7.3333333,-2.33333330000004
brong ahafo,sunyani municipal,sda hospital,hospital,sunyani,private,7.3333333,-2.33333330000004
brong ahafo,tain,anyekrom health centre,health centre,anyekrom,government,8.03966039999999,-2.38136209999993
brong ahafo,tain,nyarko maternity home,maternity home,seikwa,private,8.03966039999999,-2.38136209999993
brong ahafo,pru,zabrama health centre,health centre,zabrama,private,8.0445086,-1.28910359999997
brong ahafo,kintampo south,adom maternity home,maternity home,kimtampo,private,7.8685183,-1.75388169999996
brong ahafo,kintampo south,apesika clinic,clinic,apesika,private,7.8685183,-1.75388169999996
brong ahafo,kintampo south,mansie clinic,clinic,mansie,private,7.8685183,-1.75388169999996
brong ahafo,tano south,brosankro maternity home,maternity home,brosankro,private,7.1315171,-2.02731900000003
brong ahafo,jaman south,psychiatric clinic,clinic,drobo,government,7.68876849999999,-2.85771049999993
brong ahafo,berekum municipal,mercy clinic,clinic,brekum,private,7.4041716,-2.44392530000004
brong ahafo,berekum municipal,anyinasu chps,chps,anyinasu,government,7.4041716,-2.44392530000004
brong ahafo,atebubu-amanten,christian eye centre,clinic,brekum,chag,7.75,-0.983333300000026
brong ahafo,asunafo north municipal,bitre chps,chps,bitre,government,6.827593,-2.698387
brong ahafo,asunafo north municipal,gyasikrom chps,chps,gyasikrom,government,6.827593,-2.698387
brong ahafo,asunafo north municipal,ahmadiyya muslim hospital,hospital,mim,muslim,6.827593,-2.698387
brong ahafo,asunafo north municipal,wam chps,chps,wam,government,6.827593,-2.698387
brong ahafo,asunafo south,noberkaw chps,chps,noberkaw,government,6.614815,-2.499992
brong ahafo,asunafo south,1000 acre chps,chps,1000 acre,government,6.614815,-2.499992
brong ahafo,asunafo south,new saweresu chps,chps,new saweresu,government,6.614815,-2.499992
brong ahafo,asutifi,goamu koforidua chps,chps,goamu koforidua,government,6.9577082,-2.42087130000004
brong ahafo,asutifi,isos clinic,clinic,kenyasi,government,6.9577082,-2.42087130000004
brong ahafo,asutifi,blessed family maternity home,maternity home,dadiesoaba,private,6.9577082,-2.42087130000004
brong ahafo,asutifi,nkaseim chps,chps,hwidiem,government,6.9577082,-2.42087130000004
brong ahafo,asutifi,apenemadi chps,chps,hwidiem,government,6.9577082,-2.42087130000004
brong ahafo,atebubu-amanten,mem chps,chps,atebubu,government,7.75,-0.983333
brong ahafo,atebubu-amanten,akomade clinic,clinic,atebubu,government,7.75,-0.983333
brong ahafo,atebubu-amanten,adom maternity home,maternity home,atebubu,private,7.75,-0.983333
brong ahafo,atebubu-amanten,garadima chps,chps,garadima,government,7.75,-0.983333
brong ahafo,atebubu-amanten,kumfia clinic,clinic,kumfia,government,7.75,-0.983333
brong ahafo,atebubu-amanten,nyomoase chps,chps,nyomoase,government,7.75,-0.983333
brong ahafo,berekum municipal,namasua chps,chps,namasua,government,7.45,-2.583333
brong ahafo,berekum municipal,tewbabi chps,chps,tewbabi,government,7.45,-2.583333
brong ahafo,berekum municipal,rch dhd,rch,berekum,government,7.45,-2.583333
brong ahafo,berekum municipal,clean hands maternity home,maternity home,berekum,private,7.45,-2.583333
brong ahafo,berekum municipal,dr larbi clinic,clinic,berekum,private,7.45,-2.583333
brong ahafo,berekum municipal,betco clinic,clinic,berekum,private,7.45,-2.583333
brong ahafo,dormaa municipal,saviour clinic,clinic,dormaa ahenkro,private,7.277284,-2.876257
brong ahafo,dormaa municipal,twumkrom chps,clinic,twumkrom,government,7.277284,-2.876257
brong ahafo,dormaa municipal,gonokrom chps,chps,gonokrom,government,7.277284,-2.876257
brong ahafo,dormaa municipal,new chiraa phc,chps,new chiraa,government,7.277284,-2.876257
brong ahafo,dormaa municipal,kwakuanya methodist clinic,clinic,kwakuanya,chag,7.277284,-2.876257
brong ahafo,dormaa municipal,awiakrom community clinic,clinic,awiakrom,private,7.277284,-2.876257
brong ahafo,dormaa east,kofiboukrom chps,chps,kofiboukrom,government,7.277284,-2.876257
brong ahafo,jaman north,duadaso rural clinic,clinic,duadaso,government,6.957708,-2.420871
brong ahafo,jaman north,amanfoso chps,chps,amanfoso,government,6.957708,-2.420871
brong ahafo,jaman north,kokosua rural clinic,clinic,kokosua,government,6.957708,-2.420871
brong ahafo,jaman south,atuna chps,chps,atuna,government,6.957708,-2.420871
brong ahafo,jaman south,abuokrom chps,chps,abuokrom,government,6.957708,-2.420871
brong ahafo,jaman south,tekese chps,chps,tekese,government,6.957708,-2.420871
brong ahafo,jaman south,asempanaye chps,chps,asempanaye,government,6.957708,-2.420871
brong ahafo,asunafo south,tanoso community health nurses training school,training institution,tanoso,government,6.6148152,-2.49999179999997
brong ahafo,asutifi,biaso rural clinic,clinic,biaso,government,6.9577082,-2.42087130000004
brong ahafo,jaman north,adadiem rural clinic,clinic,adadiem,clinic,7.9072974,-2.65864009999995
brong ahafo,jaman north,mayera health centre,clinic,mayera,government,7.9072974,-2.65864009999995
brong ahafo,jaman north,suma community clinic,clinic,suma ahenkro,government,7.9072974,-2.65864009999995
brong ahafo,berekum municipal,christian eye centre,clinic,brekum,chag,7.4041716,-2.44392530000004
brong ahafo,berekum municipal,nkyekyemanu rural clinic,clinic,nkyekyemanu,private,7.4041716,-2.44392530000004
brong ahafo,sunyani municipal,susec clinic,clinic,sunyani,private,7.3333333,-2.33333330000004
brong ahafo,sunyani municipal,notre dame sch. clinic,clinic,sunyani,private,7.3333333,-2.33333330000004
brong ahafo,asunafo north municipal,scanstyle clinic,clinic,mim,private,6.91361,-2.56503
brong ahafo,sunyani municipal,atuahenekrom clinic,clinic,atuahenekrom,private,7.3333333,-2.33333330000004
brong ahafo,sunyani municipal,abesim eye clinic,clinic,abesim,private,7.3333333,-2.33333330000004
brong ahafo,sunyani municipal,sda hospital,hospital,sunyani,chag,7.3333333,-2.33333330000004
brong ahafo,pru,zabrama health centre,health centre,zabrama,government,8.0445086,-1.28910359999997
brong ahafo,berekum municipal,anyinasu rural health clinic,clinic,anyinasu,government,7.4041716,-2.44392530000004
central,abura-asebu-kwamankese,abura dunkwa rch,rch,abura dunkwa,government,5.34485,-1.17108
central,ajumako-enyan-essiam,baa salvation army clinic,clinic,ajumako ba,government,5.47564,-0.9336
central,ajumako-enyan-essiam,ekukrom chps,clinic,ekukrom,government,5.4114,-1.05676
central,ajumako-enyan-essiam,nkodwo nkojo chps,chps,nkodwo,government,5.3557,-0.97178
central,asikuma-odoben-brakwa,our lady of grace,hospital,breman asikuma,chag,5.58063,-0.99655
central,asikuma-odoben-brakwa,odoben health centre,health centre,odoben,government,5.63314,-0.88531
central,assin north municipal,akoti health centre,health centre,assin akropong,government,5.77371,-1.24504
central,assin north municipal,cecilia & sammy maternity home,maternity home,foso,private,5.694,-1.2738
central,assin south,jakai health centre,health centre,jakai,government,5.40352,-1.20084
central,awutu senya,st. jude clinic,clinic,kasoa,private,5.51756,-0.41646
central,awutu senya,holy family maternity home,maternity home,kasoa,private,5.52543,-0.42337
central,awutu senya,connie's maternity home,maternity home,kasoa,private,5.53093,-0.42262
central,awutu senya,justab clinic,clinic,kasoa,private,5.53349,-0.42904
central,awutu senya,margo maternity home,maternity home,kasoa,private,5.52294,-0.48043
central,awutu senya,st. joe's clinic,clinic,kasoa,private,5.5621,-0.44023
central,cape coast metropolitan,mercy wriketts memorial clinic,clinic,aboom,private,5.11197,-1.24952
central,cape coast metropolitan,christian eye centre,clinic,north ola,chag,5.1165,-1.27067
central,cape coast metropolitan,stovie medical centre,clinic,north ola,private,5.11523,-1.27483
central,cape coast metropolitan,mrboh clinic,clinic,municipal road,private,5.11022,-1.24777
central,mfantseman,dominase health centre,health centre,abeadze dominase,government,5.35117,-1.09433
central,mfantseman,anomabo health centre,health centre,anomabo,government,5.17713,-1.12847
central,mfantseman,biriwa community clinic,clinic,biriwa,government,5.16601,-1.14999
central,mfantseman,essuehyia health centre,health centre,essuehyia,government,5.3059,-0.88998
central,mfantseman,nanabeng chps,chps,nanabeng,government,5.24604,-0.94823
central,mfantseman,otuam health centre,health centre,otuam,government,5.21913,-0.81071
central,mfantseman,st. jude blessing clinic,clinic,yamoransa,private,5.16601,-1.19926
central,mfantseman,fynba clinic/hospital,clinic,mankessim,private,5.2624,-1.02119
central,mfantseman,earthly peace clinic,clinic,mankessim,private,5.27177,-1.01674
central,mfantseman,prince charles clinic,clinic,mankessim,private,5.27436,-1.01561
central,mfantseman,st. anthony maternity home,maternity home,mankessim,private,5.26938,-1.01679
central,mfantseman,saltpond government hospital,district hospital,saltpond,government,5.2045,-1.05614
central,mfantseman,mankessim rch/fp,clinic,mankessim,government,5.27302,-1.03214
central,mfantseman,mfantseman district health directorate,district health directorate,saltpond,government,5.20422,-1.05516
central,mfantseman,ebuakwa community clinic,clinic,ebuakwa,government,5.20422,-1.05516
central,mfantseman,kormantse clinic,clinic,kormantse,government,5.20422,-1.05516
central,mfantseman,edumafa chps,chps,edumafa,government,5.20422,-1.05516
central,mfantseman,ekrawfol chps,chps,ekrawfol,government,5.20422,-1.05516
central,mfantseman,ekumpoano chps,chps,ekumpoano,government,5.20422,-1.05516
central,mfantseman,eyisam chps,chps,eyisam,government,5.20422,-1.05516
central,mfantseman,narkwa chps,chps,narkwa,government,5.20422,-1.05516
central,mfantseman,nsanfo chps,chps,nsanfo,government,5.20422,-1.05516
central,mfantseman,taido chps,chps,taido,government,5.20422,-1.05516
central,twifu-hemang-lower denkyira,twifo hemang health centre,health centre,hemang,government,5.49061,-1.53278
central,twifu-hemang-lower denkyira,shed chps,chps,shed,government,5.42343,-1.5393
central,twifu-hemang-lower denkyira,jukwa health centre,health centre,jukwa,government,5.25963,-1.33296
central,twifu-hemang-lower denkyira,frami community clinic,clinic,frami,government,5.30889,-1.3712
central,twifu-hemang-lower denkyira,twifu-hemang-lower denkyira district health directorate,district health directorate,twifu praso,government,5.6092,-1.54724
central,twifu-hemang-lower denkyira,praso hospital,district hospital,twifu praso,government,5.61089,-1.54928
central,twifu-hemang-lower denkyira,wamaso chps,chps,twifo wamase,government,5.69832,-1.64432
central,twifu-hemang-lower denkyira,mokwa health centre,health centre,twifo,government,5.70259,-1.60488
central,twifu-hemang-lower denkyira,st. florence maternity home,maternity home,bempongagye,private,5.67184,-1.54191
central,twifu-hemang-lower denkyira,twifo praso health assistants training school,training institution,twifo praso,government,5.67184,-1.54191
central,twifu-hemang-lower denkyira,topp clinic,clinic,twifu praso,private,5.54685,-1.54687
central,twifu-hemang-lower denkyira,pentecost community clinic,clinic,twifumokwa,chag,5.7457,-1.60402
central,twifu-hemang-lower denkyira,adade kofi chps,chps,adade kof,government,5.7457,-1.60402
central,twifu-hemang-lower denkyira,kayeriku chps,chps,kayeriku,government,5.7457,-1.60402
central,twifu-hemang-lower denkyira,kotokye chps,chps,kotokye,government,5.7457,-1.60402
central,twifu-hemang-lower denkyira,nuamakrom chps,chps,nuamakrom,government,5.7457,-1.60402
central,upper denkyira east,dunkwa hospital,district hospital,dunkwa-on-offin,government,5.96243,-1.77927
central,upper denkyira east,st. mark hospital,hospital,atechem,private,5.96779,-1.79029
central,upper denkyira east,cecilia maternity clinic,maternity home,dunkwa,government,5.96162,-1.78057
central,upper denkyira east,upper denkyira east district health directorate,district health directorate,dunkwa,government,5.9649,-1.779
central,upper denkyira east,kyekyewere health centre,health centre,kyekyewere,government,5.91653,-1.67979
central,upper denkyira east,oponso health centre,health centre,opponso,government,5.76519,-1.79897
central,upper denkyira east,dunkwa health assistants training school,training institution,dunkwa,government,5.76519,-1.79897
central,upper denkyira east,buabin chps,chps,buaben,government,5.88297,-1.75841
central,upper denkyira east,imbraim chps,chps,mbraem,government,5.81374,-1.77019
central,upper denkyira east,dunkwa rch,rch,dunkwa,government,5.81374,-1.77019
central,upper denkyira east,agyempomah chps,chps,agyempoma,government,5.81374,-1.77019
central,upper denkyira east,asikumah chps,chps,asikumah,government,5.81374,-1.77019
central,upper denkyira east,asmah camp chps,chps,asmah camp,government,5.81374,-1.77019
central,upper denkyira west,ntom chps,chps,ntom,government,6.20034,-2.11999
central,upper denkyira west,s.d.a. clinic,clinic,dominasi,chag,6.04646,-1.96497
central,upper denkyira west,pentecost health centre,health centre,ayanfuri,private,5.95786,-1.89896
central,upper denkyira west,st. john clinic,polyclinic,nkotomso,private,6.00194,-1.92338
central,upper denkyira west,diaso health centre,health centre,diaso,government,6.1527,-2.15153
central,upper denkyira west,subin health centre,health centre,subin,government,6.20041,-1.04273
central,upper denkyira west,nkwatanan chps,chps,nkwatanan,government,6.20041,-1.04273
central,upper denkyira west,st. andrews anglican clinic,clinic,dominase,private,6.05035,-1.95838
central,upper denkyira west,amoaman chps,chps,amoaman,government,6.05035,-1.95838
central,upper denkyira west,anhwiawia chps,chps,anhwiawia,government,6.05035,-1.95838
central,upper denkyira west,denkyira obuasi chps,chps,denkyira obuasi,government,6.05035,-1.95838
central,upper denkyira west,treposo chps,chps,treposo,government,6.05035,-1.95838
central,abura-asebu-kwamankese,abakrampa health centre,health centre,abakrampa,government,5.24361,-1.23408
central,abura-asebu-kwamankese,nkwantanan chps,chps,nkwantanan,government,5.28076,-1.28954
central,abura-asebu-kwamankese,abura-asebu-kwamankese district health directorate,district health directorate,abura dunkwa,government,5.3281,-1.1717
central,abura-asebu-kwamankese,obohen chps,chps,obohen,government,5.30269,-1.13868
central,abura-asebu-kwamankese,kwamankese chps,chps,kwamankese,government,5.29021,-1.09563
central,abura-asebu-kwamankese,abura dunkwa hospital,district hospital,abura dunkwa,government,5.34485,-1.17108
central,abura-asebu-kwamankese,gyabankrom chps,chps,abura gyabankrom,government,5.2788,-1.11699
central,abura-asebu-kwamankese,ayeldu chps,chps,ayeldu,government,5.33784,-1.12736
central,abura-asebu-kwamankese,asomdwee chps,chps,asomdwee,government,5.33715,-1.28221
central,abura-asebu-kwamankese,asuansi rural clinic,clinic,bronyi krom,government,5.30528,-1.25554
central,abura-asebu-kwamankese,asomdwee clinic,clinic,nyamedom,private,5.33715,-1.28221
central,abura-asebu-kwamankese,moree health centre,health centre,moree,government,5.13668,-1.19932
central,abura-asebu-kwamankese,putubiw chps,chps,putubiw,government,5.20157,-1.26566
central,abura-asebu-kwamankese,amosima chps,chps,aosima,government,5.20157,-1.26566
central,abura-asebu-kwamankese,asebu chps,chps,asebu,government,5.20157,-1.26566
central,abura-asebu-kwamankese,asuansi chps,chps,asuansi,government,5.20157,-1.26566
central,abura-asebu-kwamankese,nyanfeku chps,chps,nyanfeku,government,5.20157,-1.26566
central,agona east,asafo health centre,health centre,agona asafo,government,5.5525,-0.66225
central,agona east,kwanyako health centre,health centre,kwanyako,government,5.59022,-0.6374
central,agona east,salvation army clinic,clinic,duakwa,chag,5.63113,-0.72601
central,agona east,mankrong health centre,health centre,mankrong,government,5.67169,-0.62054
central,agona east,agona nsaba health centre,health centre,agona nsaba,government,5.65241,-0.75572
central,agona east,mensakrom clinic,clinic,mensakrom,government,5.65241,-0.75572
central,agona east,kenyako chps,chps,kenyako,government,5.65241,-0.75572
central,agona east,ofoase chps,chps,ofoase,government,5.65241,-0.75572
central,agona east,otwekwa chps,chps,otwekwa,government,5.65241,-0.75572
central,agona east,tawora chps,chps,tawora,government,5.65241,-0.75572
central,agona west municipal,nkum health centre,health centre,nkum,government,5.6306,-0.83284
central,agona west municipal,bobikuma health centre,health centre,upper bobikuma,government,5.55017,-0.85691
central,agona west municipal,nyakrom health centre,health centre,agona nyakrom,government,5.60867,-0.79676
central,agona west municipal,agona swedru govermnt hospital,district hospital,swedru,government,5.53532,-0.6926
central,agona west municipal,baiden memoral clinic,clinic,tsimtsimhe,private,5.52597,-0.70704
central,agona west municipal,abodom health centre,health centre,agona abodom,government,5.53296,-0.82329
central,agona west municipal,ahmadiyya muslim hospital.,hospital,swedru,chag,5.53852,-0.69956
central,agona west municipal,glaco maternity home,maternity home,desuanim,private,5.53114,-0.69791
central,agona west municipal,agona municipal health directorate,municipal  health directorate,swedru,government,5.52313,-0.70139
central,agona west municipal,abigyakwa chps,chps,abigyakwa,government,5.52313,-0.70139
central,agona west municipal,swedru rch,rch,swedru,government,5.52313,-0.70139
central,agona west municipal,swedru sti clinic,clinic,swedru,government,5.52313,-0.70139
central,agona west municipal,nsuasa chps,chps,nuasa,government,5.52313,-0.70139
central,agona west municipal,nyamendam chps,chps,nyamendam,government,5.52313,-0.70139
central,agona west municipal,otsenkorang chps,chps,otsenkorang,government,5.71952,-0.82965
central,ajumako-enyan-essiam,ajumako hospital,district hospital,ajumako,government,5.4237,-0.95484
central,ajumako-enyan-essiam,ann's maternity home,maternity home,ajumako entumbil,private,5.48024,-0.93238
central,ajumako-enyan-essiam,ajumako-enyan-essiam district health directorate,district health directorate,ajumako,government,5.42363,-0.95545
central,ajumako-enyan-essiam,bisease health centre,health centre,ajumako bisease,government,5.46482,-0.98895
central,ajumako-enyan-essiam,enyan abaasa health centre,health centre,enyan abaasa,government,5.35401,-0.95244
central,ajumako-enyan-essiam,kwanyako community clinic,clinic,kwanyako,government,5.45035,-0.87345
central,ajumako-enyan-essiam,sunkwa community clinic,clinic,etsi sonkwaa,government,5.35854,-1.05088
central,ajumako-enyan-essiam,zion clinic,clinic,zion denkyira,private,5.39407,-0.98212
central,ajumako-enyan-essiam,enyan-maim community clinic,clinic,enyan maim,government,5.31384,-1.01756
central,ajumako-enyan-essiam,nkwantanum health centre,health centre,nkwantanum,government,5.41199,-0.97646
central,ajumako-enyan-essiam,abaasa health centre,health centre,abaasa,government,5.41199,-0.97646
central,ajumako-enyan-essiam,ajumako rch,rch,abaasa,government,5.41199,-0.97646
central,ajumako-enyan-essiam,ahomakormbua chps,chps,ahomakormbua,government,5.41199,-0.97646
central,ajumako-enyan-essiam,ayinasu chps,chps,ayinasu,government,5.41199,-0.97646
central,ajumako-enyan-essiam,ekwamase chps,chps,ekwamase,government,5.41199,-0.97646
central,ajumako-enyan-essiam,kromaim chps,chps,kromaim,government,5.41199,-0.97646
central,ajumako-enyan-essiam,mando chps,chps,mando,government,5.41199,-0.97646
central,ajumako-enyan-essiam,obontsir chps,chps,obontsir,government,5.41199,-0.97646
central,ajumako-enyan-essiam,yeboah chps,chps,yeboah,government,5.41199,-0.97646
central,asikuma-odoben-brakwa,anhwiam chps,chps,anhwiam,government,5.64501,-1.14176
central,asikuma-odoben-brakwa,asikuma rch,rch,asikuma,government,5.5903,-0.99457
central,asikuma-odoben-brakwa,bedum chps,clinic,bedum,government,5.52583,-1.00691
central,asikuma-odoben-brakwa,asikuma-odoben-brakwa district health directorate,district health directorate,asikuma,government,5.57791,-1.00412
central,asikuma-odoben-brakwa,brakwa health centre,health centre,breman brakwa,government,5.69912,-0.98457
central,asikuma-odoben-brakwa,amanfopong chps,clinic,breman amanfopong,government,5.73664,-1.0124
central,asikuma-odoben-brakwa,ayipey chps,chps,ayipey,government,5.73664,-1.0124
central,asikuma-odoben-brakwa,jamra chps,chps,jamra,government,5.73664,-1.0124
central,asikuma-odoben-brakwa,nankese chps,chps,nankese,government,5.73664,-1.0124
central,asikuma-odoben-brakwa,sowotuom chps,chps,sowotuom,government,5.73664,-1.0124
central,assin north municipal,bereku health centre,health centre,assin bereku,government,5.86629,-1.33988
central,assin north municipal,kushea health centre,health centre,kushea,government,5.87468,-1.44857
central,assin north municipal,rex maternity home,maternity home,praso,private,5.92693,-1.35901
central,assin north municipal,ebenezer clinic & matenity home .,maternity home,foso station,chag,5.69698,-1.27703
central,assin north municipal,st. francis xavier hospital,district hospital,foso,chag,5.6996,-1.28136
central,assin north municipal,bediadua health centre,health centre,bediadua,government,5.77557,-1.49475
central,assin north municipal,assin north district health directorate,district health directorate,assin praso,government,5.69988,-1.27863
central,assin north municipal,assin praso health centre,health centre,assin praso,chag,5.92382,-1.35979
central,assin north municipal,akropong odumase chps,chps,akropong odumasi,government,5.92382,-1.35979
central,assin north municipal,awisem chps,chps,awisem,government,5.92382,-1.35979
central,assin north municipal,endwa chps,chps,endwa,government,5.92382,-1.35979
central,assin south,assin manso health centre,health centre,manso,government,5.52409,-1.16766
central,assin south,ongwa health centre,health centre,assin ongwa,government,5.68002,-1.39811
central,assin south,assin south district health directorate,district health directorate,kyekyewere,government,5.46162,-1.23531
central,assin south,nyankumasi ahenkro health centre,maternity home,nyaokumasi ahenkro,government,5.38334,-1.14932
central,assin south,nsuta presby clinic,clinic,nsuta,chag,5.62802,-1.23251
central,assin south,anyinabrim health centre,health centre,anyinabrim,private,5.60888,-1.23531
central,assin south,aboabo chps,chps,aboabo,government,5.60888,-1.23531
central,assin south,amoabeng chps,chps,amoabeng,government,5.60888,-1.23531
central,assin south,ochiso chps,chps,ochiso,government,5.60888,-1.23531
central,awutu senya,fausty's maternity home,maternity home,bawjiase,private,5.67413,-0.55933
central,awutu senya,bontrase health centre,health centre,bontrase,government,5.60814,-0.55929
central,awutu senya,awutu health centre,health centre,awutu bereku,government,5.51293,-0.51456
central,awutu senya,humble home clinic,clinic,awutu-bereku,private,5.51331,-0.5118
central,awutu senya,bawjiase health centre,health centre,bawjiase,government,5.68429,-0.55172
central,awutu senya,kasoa health centre,health centre,kasoa,government,5.53382,-0.42641
central,awutu senya,central kasoa clinic,clinic,kasoa,private,5.54114,-0.42817
central,awutu senya,senya bereku health centre,health centre,senya bereku,government,5.39045,-0.49727
central,awutu senya,chirsty's maternity home,maternity home,senya bereku,private,5.30355,-0.31051
central,awutu senya,wesely maternity home,maternity home,kasoa,government,5.32045,-0.2626
central,awutu senya,thinking clinic,clinic,senya bereku,government,5.30437,-0.30544
central,awutu senya,adawukwa chps,chps,adawukwa,government,5.30437,-0.30544
central,awutu senya,ahentia chps,chps,ahentia,government,5.33206,-0.31457
central,awutu senya,akrabon chps,chps,akrabon,government,5.61691,-0.56952
central,awutu senya,mayenda chps,chps,mayenda,government,5.61691,-0.56952
central,awutu senya,ofaakor chps,chps,ofaakor,government,5.61691,-0.56952
central,awutu senya,ofadaa chps,chps,ofadaa,government,5.61691,-0.56952
central,awutu senya,okwampa chps,chps,okwampa,government,5.61691,-0.56952
central,awutu senya,opeikuma chps,chps,opeikuma,government,5.61691,-0.56952
central,awutu senya,papaase chps,chps,papaase,government,5.61691,-0.56952
central,awutu senya,tawiakwa chps,chps,tawiakwa,government,5.61691,-0.56952
central,cape coast metropolitan,ppag youth friendly,clinic,adiebikrom-abura,private,5.13586,-1.27695
central,cape coast metropolitan,police clinic,clinic,pedu junction,quasi-government,5.12181,-1.27063
central,cape coast metropolitan,central regional hospital,regional hospital,abura,government,5.1332,-1.26603
central,cape coast metropolitan,baiden ghartey memorial hospital,hospital,pedu,private,5.12535,-1.27525
central,cape coast metropolitan,st. john's clinic/maternity home,clinic,abura,private,5.18089,-1.28102
central,cape coast metropolitan,anaisiwa memorial clinic,clinic,aboom,chag,5.11036,-1.25054
central,cape coast metropolitan,bishop ackon memorial christian eye centre,clinic,adisadel,chag,5.1165,-1.27067
central,cape coast metropolitan,abura clinic,clinic,abura,private,5.13131,-1.33529
central,cape coast metropolitan,adisadel urban health centre,health centre,adisadel,government,5.11936,-1.26784
central,cape coast metropolitan,u.c.c hospital,hospital,cape coast,government,5.10537,-1.28298
central,cape coast metropolitan,regional health directorate,regional health directorate,cape coast,government,5.10162,-1.2709
central,cape coast metropolitan,cape coast metropolitan hospital,metropolitan hospital,bakano,government,5.10247,-1.25902
central,cape coast metropolitan,cape coast nurses & midwife training school,training institution,ola,government,5.10248,-1.25688
central,cape coast metropolitan,efutu rural clinic,clinic,efutu,government,5.21052,-1.32217
central,cape coast metropolitan,ekon chps,chps,ekon,government,5.12117,-1.2709
central,cape coast metropolitan,tantri clinic,clinic,tantri,private,5.1128,-1.24091
central,cape coast metropolitan,the saint maternity home,maternity home,borofoyedur,private,5.11088,-1.23425
central,cape coast metropolitan,ewim urban health centre,health centre,ewim,government,5.11533,-1.24487
central,cape coast metropolitan,cape coast rch,rch,aboom,government,5.10833,-1.24717
central,cape coast metropolitan,cape coast metropolitan health directorate,metropolitan health directorate,cape coast,government,5.10833,-1.24714
central,cape coast metropolitan,aged clinic,clinic,cape coast,government,5.0633,-1.15526
central,cape coast metropolitan,micro clinic,clinic,cape coast,government,5.06807,-1.14468
central,cape coast metropolitan,brimsu chps,chps,brimsu,government,5.11075,-1.18226
central,cape coast metropolitan,brofoyedu chps,chps,brofoyedu,government,5.06669,-1.14021
central,cape coast metropolitan,nkanfoa chps,chps,nkanfoa,government,5.08409,-1.14648
central,efutu municipal,winneba rch,rch,winneba,government,5.33849,-0.62412
central,efutu municipal,otoo memorial hospital,clinic,winneba,private,5.35441,-0.62205
central,efutu municipal,baptist hospital,hospital,winneba,chag,5.35441,-0.62205
